Price,Type,Living_space,Bedrooms,Bathrooms,Year_built,Year_renovated
165000,Mid-terrace house,284,8,4,1800,2014
165000,Corner house,115,3,2,1936,2017
165000,Single dwelling,170,3,2,1962,2019
165000,Multiple dwelling,140,3,1,1990,2019
165000,Single dwelling,80,3,1,1931,2019
167000,Mid-terrace house,128,3,1,1963,2018
167500,Bungalow,68,2,1,1972,2016
169000,Multiple dwelling,90,3,22,1961,2000
169000,Mid-terrace house,70,1,1,1896,2004
169000,Mid-terrace house,120,4,1,1972,2010
169000,Mid-terrace house,115,4,2,1904,2010
169000,Mid-terrace house,137.82,3,1,1950,2017
169000,Mid-terrace house,116,3,2,1920,2017
169000,Mid-terrace house,116,3,2,1920,2017
169000,Single dwelling,120,3,1,1930,2017
169000,Duplex,184,4,2,1890,2018
169000,Mid-terrace house,120,3,2,1960,2018
169000,Single dwelling,210,5,2,1976,2019
169000,Mid-terrace house,227,4,3,1965,2019
169000,Duplex,230,5,2,1920,2019
169000,Multiple dwelling,147.97,3,1,1900,2020
169750,Duplex,151,3,2,1935,2017
169900,Mid-terrace house,127,4,2,1963,2010
170000,Duplex,160,5,2,1920,2013
170000,Mid-terrace house,122,2,1,1900,2015
170000,Duplex,216,3,3,1980,2016
170000,Farmhouse,133,3,2,1680,2017
170000,Single dwelling,121.9,2,2,2000,2019
170000,Multiple dwelling,160,1,1,1905,2020
172000,Duplex,150,2,2,1912,1994
175000,Duplex,305,6,3,1900,2005
175000,Duplex,181,6,4,1900,2009
175000,Duplex,365,12,6,1890,2011
175000,Duplex,276,8,2,1983,2015
175000,Mid-terrace house,145,3,1,1914,2016
175000,Multiple dwelling,116,4,1,1965,2017
175000,Single dwelling,200,2,2,1912,2018
175000,Farmhouse,120,4,2,1895,2018
175000,Duplex,185,6,2,1900,2020
177000,Single dwelling,95,2,1,1968,2009
178000,Mid-terrace house,142,3,3,1963,1996
179000,Single dwelling,158.8,5,1,1951,1980
179000,Mid-terrace house,120,3,2,1985,1985
179000,Corner house,236,4,2,1900,1994
179000,Mid-terrace house,263,3,1,1966,1998
179000,Duplex,222.18,4,3,1821,2000
179000,Duplex,153,5,3,1910,2010
179000,Mid-terrace house,197.4,3,2,1900,2010
179000,Mid-terrace house,136,4,2,1957,2018
179000,Duplex,171,3,3,1914,2018
179000,Mid-terrace house,190,3,2,1892,2018
179000,Single dwelling,150,4,2,1996,2018
179000,Mid-terrace house,90.28,1,1,1898,2019
179000,Farmhouse,154.74,4,2,1900,2020
179500,Mid-terrace house,125,2,1,1960,2015
179500,Duplex,261,4,4,1847,2018
179500,Farmhouse,110,1,2,1945,2018
179500,Mid-terrace house,122,3,2,1898,2020
179850,Duplex,215,3,2,1967,1997
179900,Mid-terrace house,160,4,2,1979,2019
180000,Duplex,225,3,3,1915,1995
180000,Mid-terrace house,120,3,1,1904,1995
180000,Single dwelling,164,3,2,1936,1997
180000,Special property,109,2,1,1970,1998
180000,Residential property,285,10,4,1958,2005
180000,Mid-terrace house,150,3,1,1960,2009
180000,Duplex,187,3,3,1928,2012
180000,Corner house,120,2,1,1960,2012
180000,Duplex,228,4,2,1938,2013
180000,Mid-terrace house,269.33,6,1,1715,2013
180000,Mid-terrace house,305,6,3,1867,2014
180000,Duplex,200,4,4,1992,2014
181000,Single dwelling,75,3,1,1960,1998
184900,Mid-terrace house,210,2,2,1930,2008
185000,Duplex,400,8,2,1900,1995
185000,Mid-terrace house,201,5,2,1972,1997
185000,Mid-terrace house,165.01,4,1,1908,2011
185000,Mid-terrace house,135,1,1,1952,2012
185000,Mid-terrace house,100,4,2,1984,2012
185000,Mid-terrace house,280,3,3,1928,2013
185000,Mid-terrace house,100,2,1,1920,2014
185000,Mid-terrace house,120.01,2,2,1920,2017
185000,Mid-terrace house,126,2,2,1936,2017
185000,Mid-terrace house,95,2,2,1989,2017
185000,Multiple dwelling,79.2,2,1,1954,2018
185000,Corner house,156,2,2,1870,2018
186000,Farmhouse,150,5,1,1708,2017
186000,Single dwelling,97.84,5,2,1908,2019
187000,Single dwelling,125,5,1,1954,2010
189000,Single dwelling,113,3,1,1940,1917
189000,Mid-terrace house,220,3,4,1870,1996
189000,Mid-terrace house,283,7,3,1957,2003
189000,Single dwelling,100,3,1,1962,2005
189000,Mid-terrace house,99,2,1,1985,2010
189000,Single dwelling,134,4,2,1954,2010
189000,Single dwelling,187,3,2,1976,2015
189000,Single dwelling,90,2,1,1935,2016
189000,Duplex,184,4,1,1620,2016
189000,Mid-terrace house,268.67,5,2,1900,2017
